structur;name;year;month;data_expected
IOTC;14th session of the Compliance Committee (CoC-14);2017;5;F
IOTC;14th session of the Standing Committee on Administration and Finance (SCAF-14);2017;5;F
IOTC;1st Technical Committee on Management Procedures (TCMP-01);2017;5;F
IOTC;7th Working Party on Neritic Tunas (WPNT-07);2017;7;F
IOTC;13th Working Party on Ecosystems and Bycatch (WPEB-13);2017;9;F
IOTC;15th Working Party on Billfish (WPB-15);2017;9;F
IOTC;8th Working Party on Methods (WPM-08);2017;10;F
IOTC;19th Working Party on Tropical Tunas (WPTT-19);2017;10;F
IOTC;1st consultation/validation workshop on the development of an integrated monitoring and reporting information system (E-MARIS-01);2017;10;F
IOTC;13th Working Party on Data Collection and Statistics (WPDCS-13);2017;11;F
IOTC;20th Scientific Committee (SC-20);2017;12;F
IOTC;4th Technical Committee on Allocation Criteria (TCAC-04);2018;2;F
IOTC;1st Technical Committee on Performance Review (TCPR-01);2018;2;F
IOTC;1st IOTC Working Party on the Implementation of Conservation and Management Measures (WPICMM-01);2018;3;F
IOTC;15th session of the Compliance Committee (CoC-15);2018;5;F
IOTC;15th session of the Standing Committee on Administration and Finance (SCAF-15);2018;5;F
IOTC;2nd Technical Committee on Management Procedures (TCMP-02);2018;5;F
IOTC;22nd session of the indian ocean tuna Commission (S-22);2018;5;F
IOTC;8th Working Party on Neritic Tunas (WPNT-08);2018;8;F
IOTC;16th Working Party on Billfish (WPB-16);2018;9;F
IOTC;14th Working Party on Ecosystems and Bycatch (WPEB-14);2018;9;F
IOTC;9th Working Party on Ecosystems and Bycatch (WPEB-09);2018;10;F
IOTC;20th Working Party on Tropical Tunas (WPTT-20);2018;10;F
IOTC;14th Working Party on Data Collection and Statistics (WPDCS-14);2018;11;F
IOTC;21st Scientific Committee (SC-21);2018;12;F
IOTC;7th Working Party on Temperate Tuna (WPTmT-07);2019;1;F
IOTC;Workshop relating to the studies on Monitoring, Control and Surveillance (MCS) and Catch Documentation Scheme (CDS);2019;2;F
IOTC;2nd meeting of the IOTC Working Party on the Implementation of Conservation and Management Measures (WPICMM-02);2019;2;F
IOTC;5th Technical Committee on Allocation Criteria (TCAC-05);2019;3;F
IOTC;2nd Technical Committee on Performance Review (TCPR-02);2019;3;F
IOTC;16th Session of the Compliance Committee;2019;6;F
IOTC;16th Session of the Standing Committee on Administration and Finance;2019;6;F
IOTC;Adoption of the Compliance Committee report (half day, am) / Adoption of the SCAF report (half day, pm);2019;6;F
IOTC;3rd Session of the IOTC Technical Committee on Management Procedures;2019;6;F
IOTC;23rd Session of the Indian Ocean Tuna Commission;2019;6;F
IOTC;9th Working Party on Neritic Tunas (WPNT09);2019;7;F
IOTC;7th Working Party on Temperate Tuna (WPTmT07): Assessment meeting;2019;7;F
IOTC;15th Working Party on Ecosystems and Bycatch (WPEB-15);2019;9;F
IOTC;17th Working Party on Billfish (WPB-17);2019;9;F
IOTC;10th Working Party on Methods (WPM10);2019;10;F
IOTC;21st Working Party on Tropical Tuna (WPTT21);2019;10;F
IOTC;15th Working Party on Data Collection and Statistics (WPDCS15);2019;11;F
IOTC;22nd Scientific Committee (SC22);2019;12;F
ICCAT/IOTC;T3 meeting (technical and restitution);2015;4;T
ICCAT/IOTC;T3 meeting (technical and restitution);2016;4;T
ICCAT/IOTC;T3 meeting (technical and restitution);2017;5;T
ICCAT/IOTC;T3 technical meeting;2018;3;T
ICCAT/IOTC;T3 restitution meeting;2018;4;F
ICCAT/IOTC;T3 technical meeting;2019;3;T
ICCAT/IOTC;T3 restitution meeting;2019;6;F
IOTC;Annual data call for France country;2009;6;T
IOTC;Annual data call for France country;2010;6;T
IOTC;Annual data call for France country;2011;6;T
IOTC;Annual data call for France country;2012;6;T
IOTC;Annual data call for France country;2013;6;T
IOTC;Annual data call for France country;2014;6;T
IOTC;Annual data call for France country;2015;6;T
IOTC;Annual data call for France country;2016;6;T
IOTC;Annual data call for France country;2017;6;T
IOTC;Annual data call for France country;2018;6;T
IOTC;Annual data call for France country;2019;6;T
ICCAT;Annual data call for France country;2009;7;T
ICCAT;Annual data call for France country;2010;7;T
ICCAT;Annual data call for France country;2011;6;T
ICCAT;Annual data call for France country;2012;7;T
ICCAT;Annual data call for France country;2013;7;T
ICCAT;Annual data call for France country;2014;7;T
ICCAT;Annual data call for France country;2015;7;T
ICCAT;Annual data call for France country;2016;7;T
ICCAT;Annual data call for France country;2017;7;T
ICCAT;Annual data call for France country;2018;7;T
ICCAT;Annual data call for France country;2019;7;T
CCSBT;CCSBT Maturity Workshop 2019;2019;5;NA
CCSBT;13th Meeting of the Ecologically Related Species Working Group;2019;5;NA
CCSBT;10th Operating Model and Management Procedure Technical Meeting;2019;6;NA
CCSBT;Informal Operating Model and Management Procedure Technical Meeting 2019;2019;9;NA
CCSBT;24th Meeting of the Extended Scientific Committee;2019;9;NA
CCSBT;Informal Compliance Technical Working Group Meeting;2019;10;NA
CCSBT;14th Meeting of the Compliance Committee;2019;10;NA
CCSBT;26th Annual Meeting of the CCSBT;2019;10;NA
CCSBT;Third Meeting of the Compliance Committee Working Group;2014;4;NA
CCSBT;Fifth Operating Model and Management Procedure Technical Meeting;2014;6;NA
CCSBT;Nineteenth Meeting of the Scientific Committee;2014;9;NA
CCSBT;Ninth Meeting of the Compliance Committee;2014;10;NA
CCSBT;Twenty First Annual Meeting of the Commission;2014;10;NA
CCSBT;Eleventh Meeting of the Ecologically Related Species Working Group;2015;3;NA
CCSBT;Fourth Meeting of the Strategy and Fisheries Management Working Group;2015;7;NA
CCSBT;Sixth Operating Model and Management Procedure Technical Meeting;2015;8;NA
CCSBT;Twentieth Meeting of the Scientific Committee;2015;9;NA
CCSBT;Tenth Meeting of the Compliance Committee;2015;10;NA
CCSBT;Twenty Second Annual Meeting of the Commission;2015;10;NA
CCSBT;Fourth Meeting of the Compliance Committee Working Group;2016;4;NA
CCSBT;Seventh Operating Model and Management Procedure Technical Meeting;2016;9;NA
CCSBT;Twenty First Meeting of the Scientific Committee;2016;9;NA
CCSBT;Eleventh Meeting of the Compliance Committee;2016;10;NA
CCSBT;Twenty Third Annual Meeting of the Commission;2016;10;NA
CCSBT;Twelfth Meeting of the Ecologically Related Species Working Group;2017;3;NA
CCSBT;Eighth Operating Model and Management Procedure Technical Meeting;2017;6;NA
CCSBT;Twenty Second Meeting of the Scientific Committee;2017;8;NA
CCSBT;Twelfth Meeting of the Compliance Committee;2017;10;NA
CCSBT;Twenty Fourth Annual Meeting of the Commission;2017;10;NA
CCSBT;Fifth Strategy and Fisheries Management Working Group Meeting;2018;3;NA
CCSBT;Ninth Operating Model and Management Procedure Technical Meeting;2018;6;NA
CCSBT;Twenty Third Meeting of the Scientific Committee;2018;9;NA
CCSBT;Thirteenth Meeting of the Compliance Committee;2018;10;NA
CCSBT;Twenty Fifth Annual Meeting of the Commission;2018;10;NA
IATTC/AIDCP; Pacific Bluefin Tuna Management Strategy Evaluation (MSE) Workshop;2019;5;NA
IATTC/AIDCP;70th Tuna Conference;2019;5;NA
IATTC/AIDCP;Workshop on analysis and improvement of the use and function of sorting grids;2019;4;NA
IATTC/AIDCP;Workshop to analyze the technical document prepared by the consultant for the development of a fleet capacity management plan and associated measures;2019;4;NA
IATTC/AIDCP;Training workshop on FAD data collection;2019;5;NA
IATTC/AIDCP;2nd Meeting of the Joint Tuna RFMOs Working Group on FADs;2019;5;NA
IATTC/AIDCP;9th Meeting of the Working Group on Bycatch;2019;5;NA
IATTC/AIDCP;10th Meeting of the Scientific Advisory Committee;2019;5;NA
IATTC/AIDCP;IATTC and AIDCP Annual Meetings;2019;7;NA
IATTC/AIDCP;AIDCP seminar for captains and fishermen (requirement for inclusion in the list of AIDCP qualified captains) ;2018;12;NA
IATTC/AIDCP;42nd Meeting of the Permanent Working Group on Tuna Tracking;2018;10;NA
IATTC/AIDCP;29th Meeting of the Working Group to promote and publicize the AIDCP Dolphin Safe Tuna Certification System;2018;10;NA
IATTC/AIDCP;64th Meeting of the International Review Panel;2018;10;NA
IATTC/AIDCP;38th Meeting of the Parties to the AIDCP;2018;10;NA
IATTC/AIDCP;Center for the Advancement of Population Assessment Methodology (CAPAM) mini-workshop – Spatial stock assessment models;2018;10;NA
IATTC/AIDCP;AIDCP seminar for captains and fishermen;2018;9;NA
IATTC/AIDCP;41st Meeting of the Permanent Working Group on Tuna Tracking;2018;8;NA
IATTC/AIDCP;28th Meeting of the Working Group to promote and publicize the AIDCP Dolphin Safe Tuna Certification System;2018;8;NA
IATTC/AIDCP;63rd Meeting of the International Review Panel;2018;8;NA
IATTC/AIDCP;37th Meeting of the Parties to the AIDCP;2018;8;NA
IATTC/AIDCP;6th Meeting of the Committee on Administration and Finance;2018;8;NA
IATTC/AIDCP;9th Meeting of the Committee for the Review of Implementation of Measures Adopted by the Commission;2018;8;NA
IATTC/AIDCP;3rd Meeting of the Ad Hoc Working Group on FADs;2018;8;NA
IATTC/AIDCP;20th Meeting of the Permanent Working Group on Fleet Capacity;2018;8;NA
IATTC/AIDCP;93rd Meeting of the IATTC;2018;8;NA
IATTC/AIDCP;Management Strategies Evaluation (MSE) Workshop;2018;8;NA
IATTC/AIDCP;Training workshop on bycatch reduction for captains and fishermen organized by the IATTC – ISSF;2018;8;NA
IATTC/AIDCP;69th Tuna Conference;2018;5;NA
IATTC/AIDCP;AIDCP seminar for fishermen;2018;5;NA
IATTC/AIDCP;9th Meeting of the Scientific Advisory Committee;2018;5;NA
IATTC/AIDCP;8th Meeting of the Working Group on Bycatch ;2018;5;NA
IATTC/AIDCP;3rd Meeting of the Ad Hoc Permanent Working Group on FADs;2018;5;NA
IATTC/AIDCP;19th Meeting of the Permanent Working Group on Fleet Capacity;2018;5;NA
IATTC/AIDCP;Center for the Advancement of Population Assessment Methodology (CAPAM);2018;2;NA
IATTC/AIDCP;2nd Americas Tuna Conference  ;2018;2;NA
IATTC/AIDCP;Capacity Building Seminar-workshop on duties and responsibilities of Members-Parties to the IATTC and AIDCP;2017;12;NA
IATTC/AIDCP;Center for the Advancement of Population Assessment Methodology (CAPAM) mini-workshop;2017;11;NA
IATTC/AIDCP;40th Meeting of the Permanent Working Group on Tuna Tracking;2017;10;NA
IATTC/AIDCP;27th Meeting of the Working Group to promote and publicize the AIDCP Dolphin Safe Tuna Certification System;2017;10;NA
IATTC/AIDCP;62th Meeting of the International Review Panel (see Appendix 2);2017;10;NA
IATTC/AIDCP;36th Meeting of the Parties to the AIDCP;2017;10;NA
IATTC/AIDCP;AIDCP seminar for captains and fishermen (requirement for inclusion in the list of AIDCP qualified captains);2017;10;NA
IATTC/AIDCP;Training workshop on bycatch reduction for captains and fishermen organized by the IATTC - ISSF;2017;10;NA
IATTC/AIDCP;6th Technical meeting on sharks: Assessment methods;2017;9;NA
IATTC/AIDCP;Workshop to develop a pilot study for sampling Central American shark fisheries in the eastern Pacific Ocean;2017;9;NA
IATTC/AIDCP;AIDCP Seminar for fishermen (requirement for inclusion in the list of qualified captains) ;2017;8;NA
IATTC/AIDCP;39th Meeting of the Permanent Working Group on Tuna Tracking;2017;7;NA
IATTC/AIDCP;26th Meeting of the Working Group to promote and publicize the AIDCP Dolphin Safe Tuna Certification System;2017;7;NA
IATTC/AIDCP;61st Meeting of the International Review Panel;2017;7;NA
IATTC/AIDCP;35th Meeting of the Parties to the AIDCP;2017;7;NA
IATTC/AIDCP;5th Meeting of the Committee on Administration and Finance;2017;7;NA
IATTC/AIDCP;8th Meeting of the Committee for the Review of Implementation of Measures Adopted by the Commission ;2017;7;NA
IATTC/AIDCP;2nd Meeting of the Ad Hoc Working Group on FADs;2017;7;NA
IATTC/AIDCP;18th Meeting of the Permanent Working Group on Fleet Capacity;2017;7;NA
IATTC/AIDCP;92nd Meeting of the IATTC;2017;7;NA
IATTC/AIDCP;68th Tuna Conference;2017;5;NA
IATTC/AIDCP;7th Meeting of the Working group on Bycatch;2017;5;NA
IATTC/AIDCP;2nd Meeting of the Ad Hoc Working Group on FADs ;2017;5;NA
IATTC/AIDCP;8th Meeting of the Scientific Advisory Committee;2017;5;NA
IATTC/AIDCP;91st Meeting of the IATTC ;2017;2;NA
IATTC/AIDCP;AIDCP seminar for captains and fishermen (requirement for inclusion in the list of AIDCP qualified captains) ;2017;1;NA
IATTC/AIDCP;Training workshop on bycatch reduction for captains and fishermen organized by the IATTC - ISSF;2017;1;NA
IATTC/AIDCP;3rd Technical Meeting on Dorado;2016;10;NA
IATTC/AIDCP;Workshop on methods for monitoring the status of eastern Tropical Pacific Ocean dolphin populations;2016;10;NA
IATTC/AIDCP;38th Meeting of the Permanent Working Group on Tuna Tracking;2016;10;NA
IATTC/AIDCP;25th Meeting of the Working Group to promote and publicize the AIDCP Dolphin Safe Tuna Certification System;2016;10;NA
IATTC/AIDCP;60th Meeting of the International Review Panel;2016;10;NA
IATTC/AIDCP;34th Meeting of the Parties to the AIDCP;2016;10;NA
IATTC/AIDCP;Technical Meeting on tuna conservation measures;2016;10;NA
IATTC/AIDCP;90th Meeting of the IATTC ;2016;10;NA
IATTC/AIDCP;AIDCP seminar for captains and fishermen (requirement for inclusion in the list of AIDCP qualified captains);2016;8;NA
IATTC/AIDCP;37th Meeting of the Permanent Working Group on Tuna Tracking;2016;6;NA
IATTC/AIDCP;24th Meeting of the Working Group to promote and publicize the AIDCP Dolphin Safe Tuna Certification System;2016;6;NA
IATTC/AIDCP;59th Meeting of the International Review Panel;2016;6;NA
IATTC/AIDCP;33rd Meeting of the Parties to the AIDCP;2016;6;NA
IATTC/AIDCP;7th Meeting of the Committee for the Review of Implementation of Measures Adopted by the Commission ;2016;6;NA
IATTC/AIDCP;4th Meeting of the Committee on Administration and Finance (See Appendix 4a);2016;6;NA
IATTC/AIDCP;17th Meeting of the Permanent Working Group on Fleet Capacity (Resumed) (See Appendix 4d);2016;6;NA
IATTC/AIDCP;1st Meeting of the Ad hoc Working Group on FADs (Resumed);2016;6;NA
IATTC/AIDCP;90th Meeting of the IATT;2016;6;NA
IATTC/AIDCP;67th Tuna Conference;2016;5;NA
IATTC/AIDCP;7th Meeting of the Scientific Advisory Committee;2016;5;NA
IATTC/AIDCP;17th Meeting of the Permanent Working Group on Fleet Capacity;2016;5;NA
IATTC/AIDCP;1st Meeting of the Ad Hoc Working Group on FADs;2016;5;NA
IATTC/AIDCP;AIDCP seminar for captains and fishermen (requirement for inclusion in the list of AIDCP qualified captains);2016;1;NA
IATTC/AIDCP;2nd Technical Meeting on Dorado;2015;10;NA
IATTC/AIDCP;36th Meeting of the Permanent Working Group on Tuna Tracking;2015;10;NA
IATTC/AIDCP;23rd Meeting of the Working Group to promote and publicize the AIDCP Dolphin Safe Tuna Certification System;2015;10;NA
IATTC/AIDCP;58th Meeting of the International Review Panel;2015;10;NA
IATTC/AIDCP;32nd Meeting of the Parties to the AIDCP;2015;10;NA
IATTC/AIDCP;AIDCP seminar for captains and fishermen (requirement for inclusion in the list of AIDCP qualified captains);2015;8;NA
IATTC/AIDCP;35th Meeting of the Permanent Working Group on Tuna Tracking;2015;6;NA
IATTC/AIDCP;22nd Meeting of the Working Group to promote and publicize the AIDCP Dolphin Safe Tuna Certification System;2015;6;NA
IATTC/AIDCP;57th Meeting of the International Review Panel;2015;6;NA
IATTC/AIDCP;31st Meeting of the Parties to the AIDCP;2015;6;NA
IATTC/AIDCP;6th Meeting of the Committee for the Review of Implementation of Measures Adopted by the Commission;2015;6;NA
IATTC/AIDCP;3rd Meeting of the Committee on Administration and Finance;2015;6;NA
IATTC/AIDCP;89th Meeting of the IATTC;2015;6;NA
IATTC/AIDCP;66th Tuna Conference;2015;5;NA
IATTC/AIDCP;5th IATTC Technical Meeting on Sharks: Data Collection;2015;5;NA
IATTC/AIDCP;6th Meeting of the Scientific Advisory Committee;2015;5;NA
IATTC/AIDCP;AIDCP seminar for captains and fishermen;2015;1;NA
IATTC/AIDCP;Growth Workshop: theory, estimation, and application in fishery stock assessment models;2014;11;NA
IATTC/AIDCP;21st Meeting of the Working Group to promote and publicize the AIDCP Dolphin Safe Tuna Certification System;2014;10;NA
IATTC/AIDCP;56th Meeting of the International Review Panel;2014;10;NA
IATTC/AIDCP;30th Meeting of the Parties to the AIDCP;2014;10;NA
IATTC/AIDCP;87th Meeting of the IATTC (Resumed);2014;10;NA
IATTC/AIDCP;16th Meeting of the Permanent Working Group on Fleet Capacity;2014;10;NA
IATTC/AIDCP;88th Meeting of the IATTC (Extraordinary);2014;10;NA
IATTC/AIDCP;1st Technical Meeting on Dorado;2014;10;NA
IATTC/AIDCP;ETP Captain's Training Workshop, AIDCP Seminar for fishermen;2014;9;NA
IATTC/AIDCP;Skippers workshop;2014;9;NA
IATTC/AIDCP;AIDCP Seminar for fishermen;2014;8;NA
IATTC/AIDCP;34th Meeting of the Permanent Working Group on Tuna Tracking;2014;7;NA
IATTC/AIDCP;20th Meeting of the Working Group to promote and publicize the AIDCP Dolphin Safe Tuna Certification System;2014;7;NA
IATTC/AIDCP;55th Meeting of the International Review Panel;2014;7;NA
IATTC/AIDCP;29th Meeting of the Parties to the AIDCP;2014;7;NA
IATTC/AIDCP;5th Meeting of the Committee for the Review of Implementation of Measures Adopted by the Commission;2014;7;NA
IATTC/AIDCP;2nd Meeting of the Committee on Administration and Finance;2014;7;NA
IATTC/AIDCP;15th Meeting of the Permanent Working Group on Fleet Capacity;2014;7;NA
IATTC/AIDCP;87th Meeting of the IATTC;2014;7;NA
IATTC/AIDCP;65th Tuna Conference;2014;5;NA
IATTC/AIDCP;5th Meeting of the Scientific Advisory Committee;2014;5;NA
IATTC/AIDCP;Technical Experts Workshop on the capacity of the tuna-fishing fleet in the EPO  ;2014;4;NA
IATTC/AIDCP;AIDCP Seminar for fishermen ;2014;1;NA
IATTC/AIDCP;Providing observer data;2018;3;T
IATTC/AIDCP;Providing observer data;2019;3;T
WCPFC;11th Regular Sessions of the Commission;2014;12;F
